Modified:,2023,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?
28,Sutta,,,,Sn 2.4: Maṅgala Sutta ([English chanting translation](Chanting Book p. 46)).,,,,,,,,,,,,
28,Story,,,,A couple asks Master Hua what kind of dog they should get.,,Master Hsuan Hua,Animal,Rebirth,,,,,,,,
29,Other,,0:00,,Information about _Twigs and Branches of the Bodhinaya_ and the sections that Ajahn Kovilo reads.,AKov;AP,Ajahn Chah lineage,Ajahn Chah,Dhamma books,,Translation,Ajahn Jundee,Ajahn Pasanno,Ajahn Sumedho,,,
29,Reading,,3:00,,Reflections about Wat Pah Pong by Ajahn Toon from _Twigs and Branches of the Bodhinyana_.,AToon,,,,,,,,,,,
29,Read by,,,,Tan Kovilo,,,,,,,,,,,,
29,,,20:56,,Was there some consistency around how Ajahn Chah taught monks in a large community and how he taught monks in a small community? It sounds like when there were eleven monks he was very involved.,,Ajahn Chah,Monastic life,Mentoring,,Ageing,,,,,,
29,,,21:26,,Was Ajahn Jun around when you were training?,,Ajahn Jun,Ajahn Pasanno,,,Ajahn Chah,Ajahn Liem,Ajahn Chu,,,,
29,Story,,,,Ajahn Sumedho gets upset at Ajahn Chah for not admonishing lax monks.,,Ajahn Sumedho,Ajahn Chah,Admonishment/feedback,,,,,,,,
29,Story,,23:32,,Ajahn Jayasaro spends a Rains Retreat with Ajahn Koon.,ACu,Ajahn Jayasaro,Ajahn Koon,Novices,,,,,,,,
29,Response,,,,,AP,Ajahn Koon,Personality,,,,,,,,,
30,Teaching,0,0:00,,Introductory comments by Ajahn Pasanno and Tan Pamutto clarify some of the terms in the reading.,AP,,,,,,,,,,,
30,Reading,,3:34,,“Ordination: Going Forth” from [Ways of the Peaceful]() [pp. 23-33](Ways of the Peaceful p. 29).,,,,,,,,,,,,
30,Read by,,,,Tan Pamutto,,,,,,,,,,,,
31,Reading,,Session,,“Breath Meditation Condensed” from An Unentangled Knowing pp. 29-36.,,,,,,,,,,,,
31,Read by,,,,Tan Khemako,,,,,,,,,,,,
31,,,25:06,,"I recall hearing about some aspects of the korwat at Upasika Kee's center, do you know any of those particular details?",,Upasikā Kee Nanayon,Protocols,,,Medicinal requisites,Vegetarianism,,,,,
31,,,25:46,,Was it a women only center or separated between men and women?,,Upasikā Kee Nanayon,Women in Buddhism,,,,,,,,,
31,,,26:16,,Do you think all those rules were written down like Ajahn Chah regulations?,,Upasikā Kee Nanayon,Protocols,Ajahn Chah,,Wat Pah Pong,,,,,,
31,,,27:56,28:43,Did she have any well-known disciples that went on to do other things?,,Upasikā Kee Nanayon,,,,,,,,,,
31,,,28:51,,"It's interesting with vegetarianism, some follow that and there are others that don't?",,Vegetarianism,Buddha/Biography,Ajahn Mun,Ajahn Gunha,Protocols,,,,,,
31,Extra tags,,,,,,Upasikā Kee Nanayon,,,,,,,,,,
31,,,30:41,,Do you think the vegetarian choice at certain centers and monasteries relates to different temperaments or personalities?,,Vegetarianism,Personality,,,Ajahn Gunha,Simplicity,Killing,Wat Pah Nanachat,,,
31,Comment,,,,"At Abhayagiri when people ask, we tell them we prefer vegetarian.",ACu,Abhayagiri,Vegetarianism,,,,,,,,,
31,,,32:45,,"My guess is they were not smoking at Upasika Kee's, is that right?",,Upasikā Kee Nanayon,Smoking,,,Health care,,,,,,
31,,,33:44,,"When she is talking about the mind at normalcy, her description is having the meditation object always at least in the background, constantly in awareness, being aware of the mind-state and also doing whatever you are doing, walking, washing dishes etc. Her emphasis is on cultivating it so this is something that you would be doing twenty-four hours a day. When Ajahn Chah spoke of normalcy of the mind, did he describe it in the same way?",,Upasikā Kee Nanayon,Continuity of mindfulness,Mindfulness of mind,Ajahn Chah,Discernment,Happiness,One pointedness,,,,
31,Comment,,36:16,,She talks about within this state of normalcy constantly contemplating the three characteristics of all phenomena occurring in awareness. To me that sounds like juggling a bunch of things!,,Upasikā Kee Nanayon,Continuity of mindfulness,Conditionality,,,,,,,,
31,Response,,,,,,Discernment,,,,,,,,,,
31,Comment,,37:18,,"So the ability to hold the meditation object, go through your daily routines, keep an eye on the mind tone, and watch the stress flavor of all arising phenomenon seems like a fairly advanced practice state to arrive at and maintain twenty-four hours a day.",,Continuity of mindfulness,Everyday life,Mindfulness of mind,Suffering,,,,,,,
31,Response,,,,It's a great option if you don't want to suffer.,,Suffering,Cessation of Suffering,Happiness,,,,,,,,
31,,,38:14,,"She talks about making a story out of denying your defilements. Does the story of having fun denying your defilements come from that space of dwelling in that state of continuous mindfulness, or does continuous mindfulness come about from going through the suffering of forcing yourself not to enjoy anything?",,Upasikā Kee Nanayon,Unwholesome Roots,Continuity of mindfulness,Conditionality,Discernment,,,,,,
31,Quote,,,,Relinquishment isn't so much a giving up something that we have but enjoying the non-moving to get or trying to make.,,Relinquishment,Cessation of Suffering,Not-made-of-that,,,,,,,,
31,Simile,,,,Learning to drive or walk.,AKc,Similes,,,,,,,,,,
31,,,41:15,,What do you mean when you say try something and note “it's not working” or “it is working?” How do you know it's not just another defilement sneaking in and saying “this isn't working?”,,Right Effort,Unwholesome Roots,,,Clear comprehension,Happiness,Habits,,,,
31,,,42:59,,Is that where when one isn't meditating per se but where virtue would come in to inform whether we have slipped or not?,,Virtue,,,,Upasikā Kee Nanayon,Ajahn Chah,Conscience and prudence,Similes,Spiritual friendship,,
31,Indirect quote,,,,The defilements have their wisdom also.|Ajahn Chah,,Ajahn Chah,Unwholesome Roots,Discernment,Delusion,,,,,,,
31,,,45:08,,"She talks about virtue being the other hand of discernment in the meditation experience, and whenever discernment discerns stress, virtue is what lets go of the cause of stress, that virtue does the disbanding of it. Is virtue an unusual word to use there?",,Upasikā Kee Nanayon,Virtue,Discernment,Cessation of Suffering,Pāli,Conscience and prudence,Ajahn Chah,,,,
31,Extra tags,,,,,,Dispassion,,,,,,,,,,
31,Commentary,,,,Path of Purification p. 14: Many levels of sīla.,,Commentaries,Virtue,Eightfold Path,,,,,,,,
31,,,48:20,,"When the habit pattern of defilement is so strong, and even with the mind seeing the suffering, still the mind says, “I'm not going to give that up,” do you have any suggestions for softening that, for working with that?",,Habits,Unwholesome Roots,Clinging,,,,,,,,
31,Response,,,,"""No, just keep suffering.""",,Suffering,,,,,,,,,,
31,Comment,,49:16,,"In this talk, Upasika Kee goes through dependent origination and emphasizes catching it at sense-contact. I've always been taught that it's feeling where you can break it.",AJoti,Upasikā Kee Nanayon,Dependent origination,Contact,Mindfulness of feeling,,,,,,,
31,Response,,,,,,Desire,Mindfulness,Investigation of states,,,,,,,,
31,Question,,50:46,,"You were talking about the positive aspect of relinquishment, and that's what will motivate giving up, that positive aspect of giving up and letting go. When it's painful giving up and you give up, you can say, 'Wait, I'm just focusing on the negative aspect of giving up, I need to switch my mind to the benefits of relinquishment?'",,Relinquishment,Suffering,Appropriate attention,,Self-identity view,Clinging,Humor,Humility,,,
31,Discussion,,55:09,,"about where there may be regret and longing linked to giving up something, although on reflection after relinquishment it can then feel like a non-event, no big deal.",,Clinging,Relinquishment,Cessation of Suffering,,,,,,,,
32,Reading,,Session,,"Readings from [Venerable Father](), pp. 28-36, 37-45, and 52-54.",,,,,,,,,,,,
32,Read by,,,,,APes,,,,,,,,,,,
32,,,42:02,,What became of Venerable Araññabho?,,,,,,Disrobing,Cittavivieka,,,,,
32,,,43:17,,Did Venerable Araññabho stay at Wat Pah Nanachat?,,Wat Pah Nanachat,Wat Pah Pong,,,,,,,,,
32,,,43:43,,How long did Venerable Varapañño spend in robes?,,Paul Breiter,Disrobing,,,Wat Pah Nanachat,Ajahn Chah,Wat Pah Pong,,,,
32,Story,,,,"""I need a lawyer!""",,Paul Breiter,Ajahn Chah,Disrobing,,,,,,,,
32,Comment,,,,Even living for years in close proximity to Ajahn Chah isn't enough to guarantee people will remain in robes.,APes,Ajahn Chah,Disrobing,,,,,,,,,
32,Response,,,,,,,,,,,,,,,,
32,,,46:30,,How do monks treat intestinal worms?,,Monastic life,Health care,Sickness,Killing,,,,,,,
32,,,47:17,,Was there much coming and going between Wat Pah Pong and Wat Pah Nanachat?,,Wat Pah Pong,Wat Pah Nanachat,,,,,,,,,
32,Story,0,47:54,,Ajahn Pasanno tells how he went to Wat Pah Nanachat to make a bowl stand but got sick with scrub typhus. An extended discussion ensues.,,Ajahn Pasanno,Wat Pah Nanachat,Monastic crafts,Sickness,Rains retreat,Joseph Kappel,Kittisaro,,,,
33,Reading,,Session,,"“From the Darkness to the Light,” unpublished talk by Ajahn Liem in _Krooba Ajahn_.",ALiem,,,,,,,,,,,
33,Read by,,,,Ajahn Sudhīro,,,,,,,,,,,,
33,,,33:48,,Did you participate in massage sessions with senior monks besides Luang Por Chah?,,Ajahn Pasanno,Upatakh,,,,,,,,,
33,,,35:28,,How does one incline the mind towards recollecting one's own good actions?,,Recollection/Virtue,Merit,Aversion,Gladdening the mind,Emotion,Feeling,Kamma,Investigation of states,Vajrayāna,,
34,Reading,,Session,,“By Way of Introduction” and “Why Meditate?” from [Skill of Release]() [pp. 1-3](Skill of Release p. 7) and [pp. 20-31](Skill of Release p. 23).,,,,,,,,,,,,
34,Read by,,,,,AShj,,,,,,,,,,,
34,,,35:11,,Can you reflect upon Ajahn Lee's positive approach to the nutriments?,,Ajahn Lee Dhammadharo,Nutriment,Sutta,,,,,,,,
34,,,36:28,,Which of the three unwholesome roots is most prominent when the mind is lazy?,,Energy,Unwholesome Roots,Sloth and torpor,,Delusion,,,,,,
35,Reading,,Session,,“River and Ocean” and “Collected Teachings” from [Mae Chee Kaew]() [pp. 206-207](Mae Chee Kaew p. 203) and [pp. 231-242](Mae Chee Kaew p. 231).,,,,,,,,,,,,
35,Read by,,,,Tan Khantiko,,,,,,,,,,,,
35,,,22:45,,Is bhavataṇhā both the desire to exist and the desire to be a certain way?,,Becoming,,,,Self-identity view,,,,,,
35,,,24:27,,"Is vibhavataṇhā the thought, “I am this way and I don't want to be this way?”",,Craving not to become,,,,,,,,,,
35,,,25:20,,How do the kilesas relate to the concept of the shadow?,,Western psychology,Unwholesome Roots,,,Characteristics of existence,Self-identity view,Mae Chee Kaew,,,,
35,,,28:35,,I seem to make a virtue of laziness and don't quite believe the teachings about doing without food and sleep. Do you have any advice for me?,,Sloth and torpor,Ascetic practices,,,Skillful qualities,Unskillful qualities,,,,,
35,,,30:33,,Could say more about seeing the unwholesomeness or shadow?,,Unwholesome Roots,,,,Mindfulness,Idealism,Delusion,,,,
35,Comment,,33:34,,There can be this view that the enlightened mind doesn't have any thoughts or defilements. It's just perfectly clear and stable and there's nothing going on.,,Liberation,Directed thought and evaluation,Unwholesome Roots,Concentration,,,,,,,
35,Response,,,,Clear and stable and nothing going on are two different things.,,,,,,,,,,,,
35,Follow-up,,,,Does the enlightened mind not have any unwholesome thoughts or does it just not pick up unwholesome thoughts?,,Liberation,Directed thought and evaluation,Unskillful qualities,Proliferation,Clinging,Cause of Suffering,,,,,
35,Story,,,,A palmist looks at Ajahn Chah's hands.,,Ajahn Chah,Aversion,Personality,Liberation,,,,,,,
35,Reflection,3,39:02,,The character of Ajahn Chah and his relatives.,,Ajahn Chah,Personality,Aversion,Humor,Leadership,,,,,,
35,Recollection,,,,Ajahn Chah's older brother had the same personality.,,Ajahn Chah,Family,Personality,,,,,,,,
35,Comment,,40:54,,Ajahn Chah's brother didn't have an inferiority complex.,ANy,Ajahn Chah,Family,Guilt/shame/inadequacy,,,,,,,,
35,Comment,0,41:31,,A retreatant expresses appreciation for the concept of non-stickiness.,,Gratitude,Release,Nibbāna,,,,,,,,
35,Response,,,,,,Idealism,Thai Forest Tradition,Personality,Mae Chee Kaew,Language,,,,,,
35,Story,,43:19,,Ajahn Ñaniko meets Ajahn Mun's nephew.,ANy,Ajahn Mun,Family,,,,,,,,,
35,,,44:12,,"Ajahn Chah distinguished between the peaceful mind and the mind that has appeased the kilesas. But when the kilesas are present, is it useful to be peaceful about them?",,Ajahn Chah,Concentration,Unwholesome Roots,Tranquility,Suffering,Delusion,,,,,
35,Comment,0,45:54,,A retreatant expresses appreciation for Upasika Kee Nanayon's exhortation to be honest with ourselves.,,Unwholesome Roots,Upasikā Kee Nanayon,Truth,Gratitude,,,,,,,
35,Indirect quote,0,,,"""You can lie to the entire world if you like, but you must never lie to yourself."" – Mae Chee Kaew p. 235.",,Mae Chee Kaew,False speech,Truth,,,,,,,,
35,Response,,,,,,Truth,Self-identity view,Culture/West,,,,,,,,
35,,,47:49,,Can you recommend any practices to develop honesty with ourselves?,,Truth,Delusion,,,Unwholesome Roots,Direct experience,,,,,
35,Quote,,,,You can't take yourself too seriously. That's really deadly.,AP,Humor,Self-identity view,,,,,,,,,
35,Indirect quote,u,,,"""Do we have to sweep all of this?"" ""No, just sweep what's in front of your broom.""",,Wat Pah Nanachat,Ajahn Pasanno,Cleanliness,,,,,,,,
36,Reading,,Session,,"Ajahn Mahā Boowa, “The Middleness of the Middle Way” from Samaṇa (pdf) pp. 127-134 and Ajahn Piak, unpublished talk on peace (14:48) given to Wat Pah Nanachat monks going to Dtao Dum.",,,,,,,,,,,,
36,Read by,,,,Anāgārika J,,,,,,,,,,,,
37,Reading,,Session,,"Ajahn Buddhadāsa, Paticcasamuppada: Practical Dependent Origination (html), selections from pp. 22-45.",,,,,,,,,,,,
37,Read by,,,,Debbie Stamp,,,,,,,,,,,,
37,,,24:46,,Could you describe ways to work with attachment to the pleasure of food?,,,,,,,,,,,,
37,,,29:45,,How should we relate to the Buddha's statement that sensual pleasure is to be feared?,,,,,,,,,,,,
37,,,35:15,,Could you reflect on how Ajahn Buddhadāsa portrays mindfulness and ignorance as opposites?,,,,,,,,,,,,
37,,,36:57,,Could you say more about the positive causal process that is the opposite of paticcasamuppada?,,,,,,,,,,,,
37,,,40:40,,"When I look at neutral objects, dullness often arises. Is this suffering?",,,,,,,,,,,,
38,Reading,,Session,,"Ajahn Liem, “A Short Biography” (partial) from No Worries (pdf) pp. 101, 104-115 and “Following the Footsteps of the Enlightened Beings,” (18:58) (html) a talk at an Australian Sangha Association conference.",,,,,,,,,,,,
38,Read by,,,,Beth Stef,,,,,,,,,,,,
38,,,32:23,,Was there a time in Thai history when mediation was a routine part of childhood education?,,,,,,,,,,,,
38,,,36:44,,Ajahn Jotipālo tells a story about trying to wash Ajahn Liem's cup at Abhayagiri Monastery.,,,,,,,,,,,,
38,,,37:23,,Ajahn Pasanno describes how Ajahn Liem leads by example.,,,,,,,,,,,,
38,,,39:00,,Is Ajahn Liem continuing to take care of his health?,,,,,,,,,,,,
38,,,40:46,,Does Ajahn Liem attend morning and evening pūjā? A series of questions about pūjā at various monasteries ensues.,,,,,,,,,,,,
39,Reading,,Session,,"Ajahn Koon, Interview in Twigs and Branches of the Bodhinyana. Ajahn Pasanno introduces both Ajahn Koon and Twigs and Branches of the Bodhinyana before the talk. Questions:",,,,,,,,,,,,
39,Read by,,,,Ajahn Pasanno,,,,,,,,,,,,
39,,,36:00,,"Luang Por, were there short periods of time when you lived with Luang Por Koon?",,,,,,,,,,,,
40,Reading,,Session,,"Chao Khun Upāli, The Natural Character of Awakening pp. 58-67. Ajahn Pasanno introduces Chao Khun Upāli before the talk. Questions:",,,,,,,,,,,,
40,Read by,,,,Ajahn Jotipālo,,,,,,,,,,,,
40,,,25:32,,Do you have any advice for monks taking on additional practices (āditthanas)?,,,,,,,,,,,,
40,,,30:37,,What is the distinction Chao Khun Upāli makes between lokuttara discernment and higher discernment?,,,,,,,,,,,,
40,,,33:42,,What is the difference between abandoning craving and realizing the abandoning of craving?,,,,,,,,,,,,
40,,,41:34,,How many Somdets and Chao Khuns are there at any given time?,,,,,,,,,,,,
41,Reading,,Session,,"Ajahn Chah, “Steady Practice” from Collected Teachings (pdf) pp. 277-290. Ajahn Pasanno gives some background on Wat Keun before the talk. Questions:",,,,,,,,,,,,
41,Read by,,,,Ajahn Ahiṃsako,,,,,,,,,,,,
41,,,35:43,,How do you balance Ajahn Chah's instruction to put away the books with the desire to study and understand the teachings?,,,,,,,,,,,,
41,,,41:02,,Did Ajahn Chah ever tell a student to study?,,,,,,,,,,,,
41,,,46:42,,How does one cultivate self-supervision?,,,,,,,,,,,,
42,Reading,,Session,,"Ajahn Buddhadāsa, “The Dhamma-Truth of Samatha-Vipassana for the Nuclear Age” from Key to Natural Truth (pdf) pp. 111-131.",,,,,,,,,,,,
42,Read by,,,,Ajahn Ñāniko,,,,,,,,,,,,
42,,,31:54,,Ajahn Pasanno describes the atmosphere of Cold War fear.,,,,,,,,,,,,
42,,,33:33,,Discussion about the purpose and function of the path.,,,,,,,,,,,,
42,,,35:25,,Ajahn Ñaniko reflects on Ajahn Buddhadāsa's use of analogies.,,,,,,,,,,,,
42,,,35:50,,Ajahn Pasanno summarizes the take-away message of the retreat.,,,,,,,,,,,,
42,,,37:05,,How does one work with dullness and drowsiness in sitting meditation?,,,,,,,,,,,,
43,Reading,,Session,,"Ajahn Suwat, “Straightening Out Your Views” from Fistful of Sand & The Light of Discernment (pdf) pp. 48-51. Ajahn Pasanno gives some background on Ajahn Suwat before the talk. Questions:",,,,,,,,,,,,
43,Read by,,,,Tan Kassapo,,,,,,,,,,,,
43,,,23:12,,Ajahn Pasanno asks Tan Pesalo for more information about Ajahn Suwat.,,,,,,,,,,,,
43,,,24:05,,Where is Wat Buridat?,,,,,,,,,,,,
43,,,26:34,,Did Ajahn Mahā Boowa always praise the dtuaṅga practices?,,,,,,,,,,,,
44,Reading,,Session,,"Ajahn Chah, “1946-1954: The Tudong Years” from the unpublished draft of Ajahn Chah’s biography.",,,,,,,,,,,,
44,Read by,,,,Tan Cunda,,,,,,,,,,,,
44,,,39:08,,Ajahn Pasanno tells about Ajahn Chah asking Ajahn Mun whether he should reordain as a Dhammayut monk.,,,,,,,,,,,,
44,,,40:20,,Ajahn Pasanno gives more information about the cremation ground story.,,,,,,,,,,,,
44,,,41:47,,Did the pakow who accompanied Ajahn Chah to the cremation ground ever ordain?,,,,,,,,,,,,
44,,,43:37,,Are the boundaries between Dhammayut and Mahanikai breaking down?,,,,,,,,,,,,
45,Reading,,Session,,"Ajahn Chah, “A Simple Monk” from the unpublished draft of Ajahn Chah’s biography.",,,,,,,,,,,,
45,Read by,,,,Tan Kaccāna,,,,,,,,,,,,
45,,,34:49,,Is samwat a Thai word for saṁvega?,,,,,,,,,,,,
45,,,36:00,,How common is burial as opposed to cremation in Thailand?,,,,,,,,,,,,
45,,,40:34,,Why are dead children buried?,,,,,,,,,,,,
45,,,41:33,,How often did Ajahn Chah talk about his past?,,,,,,,,,,,,
45,,,44:18,,"Did Ajahn Chah say, “I'm such a good teacher because I had so many defilements?”",,,,,,,,,,,,
45,,,46:26,,Did Ajahn Chah use asubha practice during his battle with lust?,,,,,,,,,,,,
46,Reading,,Session,,"Ajahn Anan, Short recollection of Ajahn Chah from the talk “Life with Ajahn Chah” and “Maraṇānussati – Keeping the End in Mind” (2:18) from Seeking Buddho (pdf) pp. 67-74 and 91-92.",,,,,,,,,,,,
46,Read by,,,,Tan Ṭhitapañño,,,,,,,,,,,,
46,,,22:18,,Ajahn Jotipālo tells of Ajahn Anan's deference to Luang Por Chah.,,,,,,,,,,,,
46,,,23:05,,"Ajahn Pasanno describes the trio of Ajahn Anan, Ajahn Dtun, and Ajahn Piak.",,,,,,,,,,,,
46,,,26:19,,It seems unusual for a monk to talk about his meditative attainments. Is this unusual or frowned upon?,,,,,,,,,,,,
46,,,28:10,,Did Ajahn Anan and Ajahn Piak leave Wat Pah Pong together to found Wat Fah Krahm?,,,,,,,,,,,,
46,,,29:12,,Is this the monastery near the airport?,,,,,,,,,,,,
46,,,30:06,,"When Ajahn Anan left for Rayong, had Ajahn Dtun already left?",,,,,,,,,,,,
46,,,30:40,,How long was Ajahn Anan at Wat Fah Krahm?,,,,,,,,,,,,
46,,,31:06,,How can we interest the mind in the recollection of death?,,,,,,,,,,,,
46,,,36:31,,Is recollection of death useful for laypeople?,,,,,,,,,,,,
46,,,38:42,,There is a belief that contemplating death can call death to you. Any reflections?,,,,,,,,,,,,
46,,,39:18,,How do I keep the mind from proliferating about what happens after death?,,,,,,,,,,,,
46,,,40:50,,"If you don't think you will reach Nibbāna in this life, did Ajahn Chah advise a place to aspire for rebirth in?",,,,,,,,,,,,
46,,,45:35,,Discussion of faith followers and Dhamma followers.,,,,,,,,,,,,
46,,,50:16,,Comments about bringing death contemplation into the present moment.,,,,,,,,,,,,
47,Reading,,Session,,"Ajahn Boon Choo, Reflections on meeting Ajahn Chah from Twigs and Branches of the Bodhinyana.",,,,,,,,,,,,
47,Read by,,,,Tan Kovilo,,,,,,,,,,,,
47,,,17:36,,Did you live with Ajahn Mahā Som?,,,,,,,,,,,,
47,,,18:13,,Ajahn Ñaniko tells of Ajahn Somboon spending a vassa at Wat Pah Pong.,,,,,,,,,,,,
47,,,19:35,,Which monastery is Wat Keun?,,,,,,,,,,,,
47,,,21:12,,What is the town across from Wat Keun?,,,,,,,,,,,,
47,,,22:05,,Did you think of relocating Wat Pah Nanachat to Wat Keun?,,,,,,,,,,,,
47,,,26:36,,You were offered a cornfield in Ohio? What year was that?,,,,,,,,,,,,
47,,,27:19,,Do foreigners still go to Wat Keun?,,,,,,,,,,,,
47,,,28:36,,Did Ajahn Boon Choo go to Europe?,,,,,,,,,,,,
47,,,30:31,,Ajahn Pasanno describes Ajahn Boon Choo's skill in meditation.,,,,,,,,,,,,
47,,,32:54,,Did Luang Por Liem ask Luang Por Boon Choo to stay back when Luang Por Chah became ill?,,,,,,,,,,,,
47,,,35:26,,Ajahn Pasanno gives more details about the decision for Ajahn Choo to take over Wat Keun.,,,,,,,,,,,,
47,,,38:27,,"If you had moved Wat Pah Nanachat to Wat Keun, would you have left Thailand?",,,,,,,,,,,,
47,,,39:21,,What happened to Ajahn Puriso?,,,,,,,,,,,,
48,Reading,,Session,,"Ajahn Piak, Selected conversations with Western monks from Krooba Ajahn.",,,,,,,,,,,,
48,Read by,,,,Tan Pamutto,,,,,,,,,,,,
48,,,27:46,,Is it rare for someone to master samādhi before developing wisdom?,,,,,,,,,,,,
48,,,28:59,,"Would you be willing to talk about the difference between mindfulness, bare knowing, and the one who knows?",,,,,,,,,,,,
48,,,35:23,,Could constant movement like Luang Por Teean's technique be useful for drowsiness?,,,,,,,,,,,,
48,,,38:08,,Ajahn Pasanno describes the meditation method he used during his first year as a monk.,,,,,,,,,,,,
48,,,39:24,,Ajahn Jotipālo tells about Luang Por Teean's technique at Wat Pah Nanachat.,,,,,,,,,,,,
48,,,41:22,,Could the Ajahn Teean technique work for restlessness?,,,,,,,,,,,,
48,,,42:32,,Did Ajahn Chah speak about paramī?,,,,,,,,,,,,
48,,,43:38,,More discussion of movement meditations.,,,,,,,,,,,,
48,,,45:00,,Did you use the method of balancing a needle between your thumbs?,,,,,,,,,,,,
48,,,45:40,,What if your problem is restlessness?,,,,,,,,,,,,
48,,,47:33,,What is a reasonable amount of time to try out a new method?,,,,,,,,,,,,
49,Reading,,Session,,"Ajahn Teean, Readings from the biography The Singular Quality of an Ordinary Monk.(html)",,,,,,,,,,,,
49,Read by,,,,Tan Khemako,,,,,,,,,,,,
49,,,35:12,,Did Ajahn Teean learn his method from someone else?,,,,,,,,,,,,
49,,,36:12,,Did Ajahn Teean have contact with Ajahn Chah?,,,,,,,,,,,,
49,,,38:25,,Jeed mentions working at a refugee camp at Chang Kon.,,,,,,,,,,,,
49,,,40:36,,Does Luang Por Teean have disciples who are still alive?,,,,,,,,,,,,
49,,,42:06,,Questions about a translated book by a Luang Por Teean disciple.,,,,,,,,,,,,
49,,,42:59,,Do you know Venerable Nirodha who translated this book?,,,,,,,,,,,,
49,,,43:25,,Why did older men ordain as pakows and follow Ajahn Chah on tudong?,,,,,,,,,,,,
49,,,45:57,,Is it common for older men to ordain?,,,,,,,,,,,,
49,,,47:48,,How long would such pakows ordain?,,,,,,,,,,,,
49,,,48:36,,Was Luang Por Teean a forest teacher? Dhammayut or Mahanikai?,,,,,,,,,,,,
50,Reading,,Session,,“The Customs of the Noble Ones” (html) by Thanissaro Bhikkhu and recollections of Ajahn Taungrut (19:28) by Ajahn Gi from Krooba Ajahn.,,,,,,,,,,,,
50,Read by,,,,,APes,,,,,,,,,,,
50,,,34:46,,Who offered the second reading?,,,,,,,,,,,,
50,,,35:28,,Did any Wat Pah Pong monks spend time with Luang Por Gi?,,,,,,,,,,,,
50,,,36:37,,How much time did Ajahn Chah spend with Ajahn Taungrut?,,,,,,,,,,,,
50,,,37:42,,Ajahn Ñaniko describes a prediction of Luang Por Taungrut.,,,,,,,,,,,,
50,,,38:26,,Was there a time in Thailand when no one had any noble attainments?,,,,,,,,,,,,
50,,,41:59,,Are there any of Luang Por Taungrut's teachings available?,,,,,,,,,,,,
50,,,44:10,,Has the Ajahn Utane biography been translated into English?,,,,,,,,,,,,
50,,,44:30,,Is Ajahn Utane's monastery the same as Ajahn Taungrut's?,,,,,,,,,,,,
51,Reading,,Session,,"Ajahn Wanchai, Questions from the monks of Wat Pah Nanachat from Krooba Ajahn.",,,,,,,,,,,,
51,Read by,,,,Tan Sudhīro,,,,,,,,,,,,
51,,,33:14,,"Sometimes I will see a bit of greed come up, I apply an antidote, for example, if its craving, apply some asuba; but it seems to exacerbate it–do you have any encouragement or similes from Ajahn Chah?",,,,,,,,,,,,
51,,,37:38,,"The citta is sometimes defined as pure awareness, and it being in the foruth khanda but it sounds like here he's talking about the activity of awareness?",,,,,,,,,,,,
51,,,39:50,,"So is it better to hear what he said and let it go when I notice awareness that's good, but I don't have to make anything out of it?",,,,,,,,,,,,
51,,,41:37,,"So is it a realizing, not a conceiving?",,,,,,,,,,,,
51,,,42:31,,"If you keep chipping away at a theme of contemplation, you keep doing it, doing it, and nothing is changing in your experience, at some stage you feel this isn't working, do you just have to move on and try something else? Is it the case that you just have to try them all? No-one can tell you which is going to work for you?",,,,,,,,,,,,
51,,,46:00,,"The story you told where a monk was punched, I really didn't see the point of that.",,,,,,,,,,,,
51,,,46:30,,Ajahn Pasanno talks about how enlightened people still have personalities and shares some examples.,,,,,,,,,,,,
51,,,55:45,,"In the Thai Forest tradition there are some fierce teachers. In other Buddhist traditions the “don't question the guru” mentality seems to get way out of hand, but in Thailand that doesn't seem to happen so often?",,,,,,,,,,,,
52,Reading,,Session,,"Ajahn Chah, “Toilets on the Path” from Collected Teachings (pdf) pp. 723-734.",,,,,,,,,,,,
52,Read by,,,,Sāmaṇera Suhajjo,,,,,,,,,,,,
52,,,31:37,,"Did I understand correctly, that this talk was originally given in Lao?",,,,,,,,,,,,
52,,,37:04,,"In the reading, did it say that he slept in a coffin?",,,,,,,,,,,,
52,,,37:21,,Was your eight years living with novices like how it was described in this reading?,,,,,,,,,,,,
52,,,39:07,,"Was there a cap, a certain number of novices allowed at the monastery at one time?",,,,,,,,,,,,
52,,,39:55,,I got the impression from that introduction that the monastery was over-run with novices?,,,,,,,,,,,,
52,,,42:49,,Ajahn Chah probably wasn't a micro manager was he?,,,,,,,,,,,,
52,,,44:06,,Discussion about the reality of dealing with training behaviors amongst a constantly changing population within the monastery.,,,,,,,,,,,,
52,,,45:19,,So they do temporary ordinations in Thailand?,,,,,,,,,,,,
52,,,45:47,,"What would be the duration, was there a range?",,,,,,,,,,,,
52,,,47:20,,Did they come in as anāgārikas or sāmaṇeras?,,,,,,,,,,,,
52,,,49:38,,Did they do temporary ordinations at Wat Pah Nanachat?,,,,,,,,,,,,
52,,,52:07,,Was there a temporary ordination in England for Maurice Walsh?,,,,,,,,,,,,
52,,,54:47,,How many other traditions in Thailand use the model of anāgārika for one year and sāmaṇera for one year?,,,,,,,,,,,,
